0,date,is_school_day,is_work_day
177,2023-01-31,1,1
178,2023-02-01,1,1
179,2023-02-02,1,1
180,2023-02-03,1,1
181,2023-02-04,0,0
182,2023-02-05,0,0
183,2023-02-06,1,1
184,2023-02-07,1,1
185,2023-02-08,1,1
186,2023-02-09,1,1
187,2023-02-10,1,1
188,2023-02-11,0,0
189,2023-02-12,0,0
190,2023-02-13,1,1
191,2023-02-14,1,1
192,2023-02-15,1,1
193,2023-02-16,1,1
194,2023-02-17,1,1
195,2023-02-18,0,0
196,2023-02-19,0,0
197,2023-02-20,1,1
198,2023-02-21,1,1
199,2023-02-22,1,1
200,2023-02-23,1,1
201,2023-02-24,1,1
202,2023-02-25,0,0
203,2023-02-26,0,0
204,2023-02-27,1,1
205,2023-02-28,1,1
206,2023-03-01,1,1
207,2023-03-02,1,1
208,2023-03-03,1,1
209,2023-03-04,0,0
210,2023-03-05,0,0
211,2023-03-06,1,1
212,2023-03-07,1,1
213,2023-03-08,1,1
214,2023-03-09,1,1
215,2023-03-10,1,1
216,2023-03-11,0,0
217,2023-03-12,0,0
218,2023-03-13,0,1
219,2023-03-14,0,1
220,2023-03-15,0,1
221,2023-03-16,0,1
222,2023-03-17,0,1
223,2023-03-18,0,0
224,2023-03-19,0,0
225,2023-03-20,1,1
226,2023-03-21,1,1
227,2023-03-22,1,1
228,2023-03-23,1,1
229,2023-03-24,1,1
230,2023-03-25,0,0
231,2023-03-26,0,0
232,2023-03-27,1,1
233,2023-03-28,1,1
234,2023-03-29,1,1
235,2023-03-30,1,1
236,2023-03-31,1,1
237,2023-04-01,0,0
238,2023-04-02,0,0
239,2023-04-03,1,1
240,2023-04-04,1,1
241,2023-04-05,1,1
242,2023-04-06,1,1
243,2023-04-07,1,1
244,2023-04-08,0,0
245,2023-04-09,0,0
246,2023-04-10,1,1
247,2023-04-11,1,1
248,2023-04-12,1,1
249,2023-04-13,1,1
250,2023-04-14,1,1
251,2023-04-15,0,0
252,2023-04-16,0,0
253,2023-04-17,1,1
254,2023-04-18,1,1
255,2023-04-19,1,1
256,2023-04-20,1,1
257,2023-04-21,1,1
258,2023-04-22,0,0
259,2023-04-23,0,0
260,2023-04-24,1,1
261,2023-04-25,1,1
262,2023-04-26,1,1
263,2023-04-27,1,1
264,2023-04-28,1,1
265,2023-04-29,0,0
266,2023-04-30,0,0
267,2023-05-01,1,1
268,2023-05-02,1,1
269,2023-05-03,1,1
270,2023-05-04,1,1
271,2023-05-05,1,1
272,2023-05-06,0,0
273,2023-05-07,0,0
274,2023-05-08,1,1
275,2023-05-09,1,1
276,2023-05-10,1,1
277,2023-05-11,1,1
278,2023-05-12,1,1
279,2023-05-13,0,0
280,2023-05-14,0,0
281,2023-05-15,1,1
282,2023-05-16,1,1
283,2023-05-17,1,1
284,2023-05-18,1,1
285,2023-05-19,1,1
286,2023-05-20,0,0
287,2023-05-21,0,0
288,2023-05-22,1,1
289,2023-05-23,1,1
290,2023-05-24,1,1
291,2023-05-25,1,1
292,2023-05-26,1,1
293,2023-05-27,0,0
294,2023-05-28,0,0
295,2023-05-29,1,1
296,2023-05-30,1,1
297,2023-05-31,1,1
298,2023-06-01,0,1
299,2023-06-02,0,1
300,2023-06-03,0,0
301,2023-06-04,0,0
302,2023-06-05,0,1
303,2023-06-06,0,1
304,2023-06-07,0,1
305,2023-06-08,0,1
306,2023-06-09,0,1
307,2023-06-10,0,0
308,2023-06-11,0,0
309,2023-06-12,0,1
310,2023-06-13,0,1
311,2023-06-14,0,1
312,2023-06-15,0,1
313,2023-06-16,0,1
314,2023-06-17,0,0
315,2023-06-18,0,0
316,2023-06-19,0,1
317,2023-06-20,0,1
318,2023-06-21,0,1
319,2023-06-22,0,1
320,2023-06-23,0,1
321,2023-06-24,0,0
322,2023-06-25,0,0
323,2023-06-26,0,1
324,2023-06-27,0,1
325,2023-06-28,0,1
326,2023-06-29,0,1
327,2023-06-30,0,1
328,2023-07-01,0,0
329,2023-07-02,0,0
330,2023-07-03,0,1
331,2023-07-04,0,1
332,2023-07-05,0,1
