0,date,daily_vaccines
74,2022-10-20,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
75,2022-10-21,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
76,2022-10-22,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
77,2022-10-23,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
78,2022-10-24,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
79,2022-10-25,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
80,2022-10-26,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
81,2022-10-27,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
82,2022-10-28,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
83,2022-10-29,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
84,2022-10-30,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
85,2022-10-31,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
86,2022-11-01,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
87,2022-11-02,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
88,2022-11-03,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
89,2022-11-04,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
90,2022-11-05,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
91,2022-11-06,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
92,2022-11-07,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
93,2022-11-08,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
94,2022-11-09,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
95,2022-11-10,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
96,2022-11-11,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
97,2022-11-12,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
98,2022-11-13,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
99,2022-11-14,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
100,2022-11-15,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
101,2022-11-16,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
102,2022-11-17,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
103,2022-11-18,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
104,2022-11-19,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
105,2022-11-20,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
106,2022-11-21,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
107,2022-11-22,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
108,2022-11-23,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
109,2022-11-24,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
110,2022-11-25,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
111,2022-11-26,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
112,2022-11-27,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
113,2022-11-28,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
114,2022-11-29,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
115,2022-11-30,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
116,2022-12-01,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
117,2022-12-02,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
118,2022-12-03,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
119,2022-12-04,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
120,2022-12-05,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
121,2022-12-06,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
122,2022-12-07,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
123,2022-12-08,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
124,2022-12-09,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
125,2022-12-10,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
126,2022-12-11,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
127,2022-12-12,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
128,2022-12-13,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
129,2022-12-14,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
130,2022-12-15,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
131,2022-12-16,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
132,2022-12-17,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
133,2022-12-18,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
134,2022-12-19,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
135,2022-12-20,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
136,2022-12-21,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
137,2022-12-22,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
138,2022-12-23,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
139,2022-12-24,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
140,2022-12-25,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
141,2022-12-26,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
142,2022-12-27,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
143,2022-12-28,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
144,2022-12-29,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
145,2022-12-30,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
146,2022-12-31,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
147,2023-01-01,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
148,2023-01-02,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
149,2023-01-03,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
150,2023-01-04,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
151,2023-01-05,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
152,2023-01-06,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
153,2023-01-07,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
154,2023-01-08,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
155,2023-01-09,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
156,2023-01-10,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
157,2023-01-11,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
158,2023-01-12,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
159,2023-01-13,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
160,2023-01-14,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
161,2023-01-15,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
162,2023-01-16,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
163,2023-01-17,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
164,2023-01-18,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
165,2023-01-19,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
166,2023-01-20,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
167,2023-01-21,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
168,2023-01-22,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
169,2023-01-23,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
170,2023-01-24,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
171,2023-01-25,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
172,2023-01-26,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
173,2023-01-27,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
174,2023-01-28,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
175,2023-01-29,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
176,2023-01-30,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
177,2023-01-31,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
178,2023-02-01,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
179,2023-02-02,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
180,2023-02-03,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
181,2023-02-04,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
182,2023-02-05,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
183,2023-02-06,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
184,2023-02-07,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
185,2023-02-08,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
186,2023-02-09,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
187,2023-02-10,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
188,2023-02-11,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
189,2023-02-12,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
190,2023-02-13,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
191,2023-02-14,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
192,2023-02-15,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
193,2023-02-16,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
194,2023-02-17,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
195,2023-02-18,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
196,2023-02-19,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
197,2023-02-20,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
198,2023-02-21,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
199,2023-02-22,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
200,2023-02-23,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
201,2023-02-24,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
202,2023-02-25,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
203,2023-02-26,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
204,2023-02-27,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
205,2023-02-28,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
206,2023-03-01,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
207,2023-03-02,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
208,2023-03-03,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
209,2023-03-04,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
210,2023-03-05,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
211,2023-03-06,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
212,2023-03-07,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
213,2023-03-08,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
214,2023-03-09,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
215,2023-03-10,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
216,2023-03-11,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
217,2023-03-12,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
218,2023-03-13,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
219,2023-03-14,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
220,2023-03-15,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
221,2023-03-16,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
222,2023-03-17,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
223,2023-03-18,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
224,2023-03-19,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
225,2023-03-20,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
226,2023-03-21,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
227,2023-03-22,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
228,2023-03-23,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
229,2023-03-24,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
230,2023-03-25,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
231,2023-03-26,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
232,2023-03-27,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
233,2023-03-28,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
234,2023-03-29,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
235,2023-03-30,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
236,2023-03-31,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
237,2023-04-01,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
238,2023-04-02,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
239,2023-04-03,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
240,2023-04-04,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
241,2023-04-05,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
242,2023-04-06,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
243,2023-04-07,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
244,2023-04-08,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
245,2023-04-09,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
246,2023-04-10,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
247,2023-04-11,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
248,2023-04-12,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
249,2023-04-13,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
250,2023-04-14,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
251,2023-04-15,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
252,2023-04-16,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
253,2023-04-17,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
254,2023-04-18,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
255,2023-04-19,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
256,2023-04-20,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
257,2023-04-21,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
258,2023-04-22,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
259,2023-04-23,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
260,2023-04-24,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
261,2023-04-25,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
262,2023-04-26,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
263,2023-04-27,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
264,2023-04-28,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
265,2023-04-29,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
266,2023-04-30,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
267,2023-05-01,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
268,2023-05-02,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
269,2023-05-03,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
270,2023-05-04,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
271,2023-05-05,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
272,2023-05-06,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
273,2023-05-07,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
274,2023-05-08,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
275,2023-05-09,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
276,2023-05-10,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
277,2023-05-11,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
278,2023-05-12,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
279,2023-05-13,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
280,2023-05-14,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
281,2023-05-15,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
282,2023-05-16,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
283,2023-05-17,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
284,2023-05-18,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
285,2023-05-19,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
286,2023-05-20,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
287,2023-05-21,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
288,2023-05-22,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
289,2023-05-23,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
290,2023-05-24,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
291,2023-05-25,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
292,2023-05-26,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
293,2023-05-27,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
294,2023-05-28,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
295,2023-05-29,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
296,2023-05-30,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
297,2023-05-31,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
298,2023-06-01,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
299,2023-06-02,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
300,2023-06-03,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
301,2023-06-04,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
302,2023-06-05,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
303,2023-06-06,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
304,2023-06-07,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
305,2023-06-08,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
306,2023-06-09,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
307,2023-06-10,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
308,2023-06-11,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
309,2023-06-12,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
310,2023-06-13,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
311,2023-06-14,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
312,2023-06-15,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
313,2023-06-16,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
314,2023-06-17,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
315,2023-06-18,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
316,2023-06-19,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
317,2023-06-20,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
