0,date,daily_vaccines
29,2023-08-12,"[[0.000282726],[0.000282726],[0.000282726],[0.000282726],[0.000282726]]"
30,2023-08-13,"[[0.000288917],[0.000288917],[0.000288917],[0.000288917],[0.000288917]]"
31,2023-08-14,"[[0.000295108],[0.000295108],[0.000295108],[0.000295108],[0.000295108]]"
32,2023-08-15,"[[0.000303363],[0.000303363],[0.000303363],[0.000303363],[0.000303363]]"
33,2023-08-16,"[[0.000311618],[0.000311618],[0.000311618],[0.000311618],[0.000311618]]"
34,2023-08-17,"[[0.000319873],[0.000319873],[0.000319873],[0.000319873],[0.000319873]]"
35,2023-08-18,"[[0.000328127],[0.000328127],[0.000328127],[0.000328127],[0.000328127]]"
36,2023-08-19,"[[0.000336382],[0.000336382],[0.000336382],[0.000336382],[0.000336382]]"
37,2023-08-20,"[[0.000346701],[0.000346701],[0.000346701],[0.000346701],[0.000346701]]"
38,2023-08-21,"[[0.000354955],[0.000354955],[0.000354955],[0.000354955],[0.000354955]]"
39,2023-08-22,"[[0.000361146],[0.000361146],[0.000361146],[0.000361146],[0.000361146]]"
40,2023-08-23,"[[0.000371465],[0.000371465],[0.000371465],[0.000371465],[0.000371465]]"
41,2023-08-24,"[[0.00037972],[0.00037972],[0.00037972],[0.00037972],[0.00037972]]"
42,2023-08-25,"[[0.000390038],[0.000390038],[0.000390038],[0.000390038],[0.000390038]]"
43,2023-08-26,"[[0.000400357],[0.000400357],[0.000400357],[0.000400357],[0.000400357]]"
44,2023-08-27,"[[0.000410675],[0.000410675],[0.000410675],[0.000410675],[0.000410675]]"
45,2023-08-28,"[[0.000420994],[0.000420994],[0.000420994],[0.000420994],[0.000420994]]"
46,2023-08-29,"[[0.000429248],[0.000429248],[0.000429248],[0.000429248],[0.000429248]]"
47,2023-08-30,"[[0.000439567],[0.000439567],[0.000439567],[0.000439567],[0.000439567]]"
48,2023-08-31,"[[0.000449885],[0.000449885],[0.000449885],[0.000449885],[0.000449885]]"
49,2023-09-01,"[[0.000460204],[0.000460204],[0.000460204],[0.000460204],[0.000460204]]"
50,2023-09-02,"[[0.000470522],[0.000470522],[0.000470522],[0.000470522],[0.000470522]]"
51,2023-09-03,"[[0.000482904],[0.000482904],[0.000482904],[0.000482904],[0.000482904]]"
52,2023-09-04,"[[0.000491159],[0.000491159],[0.000491159],[0.000491159],[0.000491159]]"
53,2023-09-05,"[[0.000501478],[0.000501478],[0.000501478],[0.000501478],[0.000501478]]"
54,2023-09-06,"[[0.00051386],[0.00051386],[0.00051386],[0.00051386],[0.00051386]]"
55,2023-09-07,"[[0.000524178],[0.000524178],[0.000524178],[0.000524178],[0.000524178]]"
56,2023-09-08,"[[0.00053656],[0.00053656],[0.00053656],[0.00053656],[0.00053656]]"
57,2023-09-09,"[[0.000546879],[0.000546879],[0.000546879],[0.000546879],[0.000546879]]"
58,2023-09-10,"[[0.000557197],[0.000557197],[0.000557197],[0.000557197],[0.000557197]]"
59,2023-09-11,"[[0.000567516],[0.000567516],[0.000567516],[0.000567516],[0.000567516]]"
60,2023-09-12,"[[0.000577834],[0.000577834],[0.000577834],[0.000577834],[0.000577834]]"
61,2023-09-13,"[[0.000590216],[0.000590216],[0.000590216],[0.000590216],[0.000590216]]"
62,2023-09-14,"[[0.000600535],[0.000600535],[0.000600535],[0.000600535],[0.000600535]]"
63,2023-09-15,"[[0.000610853],[0.000610853],[0.000610853],[0.000610853],[0.000610853]]"
64,2023-09-16,"[[0.000621172],[0.000621172],[0.000621172],[0.000621172],[0.000621172]]"
65,2023-09-17,"[[0.00063149],[0.00063149],[0.00063149],[0.00063149],[0.00063149]]"
66,2023-09-18,"[[0.000641809],[0.000641809],[0.000641809],[0.000641809],[0.000641809]]"
67,2023-09-19,"[[0.000652127],[0.000652127],[0.000652127],[0.000652127],[0.000652127]]"
68,2023-09-20,"[[0.000662446],[0.000662446],[0.000662446],[0.000662446],[0.000662446]]"
69,2023-09-21,"[[0.000672764],[0.000672764],[0.000672764],[0.000672764],[0.000672764]]"
70,2023-09-22,"[[0.000681019],[0.000681019],[0.000681019],[0.000681019],[0.000681019]]"
71,2023-09-23,"[[0.000689274],[0.000689274],[0.000689274],[0.000689274],[0.000689274]]"
72,2023-09-24,"[[0.000697529],[0.000697529],[0.000697529],[0.000697529],[0.000697529]]"
73,2023-09-25,"[[0.000705783],[0.000705783],[0.000705783],[0.000705783],[0.000705783]]"
74,2023-09-26,"[[0.000714038],[0.000714038],[0.000714038],[0.000714038],[0.000714038]]"
75,2023-09-27,"[[0.000722293],[0.000722293],[0.000722293],[0.000722293],[0.000722293]]"
76,2023-09-28,"[[0.000728484],[0.000728484],[0.000728484],[0.000728484],[0.000728484]]"
77,2023-09-29,"[[0.000736739],[0.000736739],[0.000736739],[0.000736739],[0.000736739]]"
78,2023-09-30,"[[0.00074293],[0.00074293],[0.00074293],[0.00074293],[0.00074293]]"
79,2023-10-01,"[[0.000747057],[0.000747057],[0.000747057],[0.000747057],[0.000747057]]"
80,2023-10-02,"[[0.000751185],[0.000751185],[0.000751185],[0.000751185],[0.000751185]]"
81,2023-10-03,"[[0.000755312],[0.000755312],[0.000755312],[0.000755312],[0.000755312]]"
82,2023-10-04,"[[0.000761503],[0.000761503],[0.000761503],[0.000761503],[0.000761503]]"
83,2023-10-05,"[[0.00076563],[0.00076563],[0.00076563],[0.00076563],[0.00076563]]"
84,2023-10-06,"[[0.000767694],[0.000767694],[0.000767694],[0.000767694],[0.000767694]]"
85,2023-10-07,"[[0.000769758],[0.000769758],[0.000769758],[0.000769758],[0.000769758]]"
86,2023-10-08,"[[0.000771821],[0.000771821],[0.000771821],[0.000771821],[0.000771821]]"
87,2023-10-09,"[[0.000773885],[0.000773885],[0.000773885],[0.000773885],[0.000773885]]"
88,2023-10-10,"[[0.000775949],[0.000775949],[0.000775949],[0.000775949],[0.000775949]]"
89,2023-10-11,"[[0.000775949],[0.000775949],[0.000775949],[0.000775949],[0.000775949]]"
90,2023-10-12,"[[0.000775949],[0.000775949],[0.000775949],[0.000775949],[0.000775949]]"
91,2023-10-13,"[[0.000773885],[0.000773885],[0.000773885],[0.000773885],[0.000773885]]"
92,2023-10-14,"[[0.000773885],[0.000773885],[0.000773885],[0.000773885],[0.000773885]]"
93,2023-10-15,"[[0.000771821],[0.000771821],[0.000771821],[0.000771821],[0.000771821]]"
94,2023-10-16,"[[0.000769758],[0.000769758],[0.000769758],[0.000769758],[0.000769758]]"
95,2023-10-17,"[[0.00076563],[0.00076563],[0.00076563],[0.00076563],[0.00076563]]"
96,2023-10-18,"[[0.000763567],[0.000763567],[0.000763567],[0.000763567],[0.000763567]]"
97,2023-10-19,"[[0.000759439],[0.000759439],[0.000759439],[0.000759439],[0.000759439]]"
98,2023-10-20,"[[0.000755312],[0.000755312],[0.000755312],[0.000755312],[0.000755312]]"
99,2023-10-21,"[[0.000751185],[0.000751185],[0.000751185],[0.000751185],[0.000751185]]"
100,2023-10-22,"[[0.000744993],[0.000744993],[0.000744993],[0.000744993],[0.000744993]]"
101,2023-10-23,"[[0.000740866],[0.000740866],[0.000740866],[0.000740866],[0.000740866]]"
102,2023-10-24,"[[0.000736739],[0.000736739],[0.000736739],[0.000736739],[0.000736739]]"
103,2023-10-25,"[[0.000730548],[0.000730548],[0.000730548],[0.000730548],[0.000730548]]"
104,2023-10-26,"[[0.000722293],[0.000722293],[0.000722293],[0.000722293],[0.000722293]]"
105,2023-10-27,"[[0.000716102],[0.000716102],[0.000716102],[0.000716102],[0.000716102]]"
106,2023-10-28,"[[0.000707847],[0.000707847],[0.000707847],[0.000707847],[0.000707847]]"
107,2023-10-29,"[[0.000701656],[0.000701656],[0.000701656],[0.000701656],[0.000701656]]"
108,2023-10-30,"[[0.000693401],[0.000693401],[0.000693401],[0.000693401],[0.000693401]]"
109,2023-10-31,"[[0.000685146],[0.000685146],[0.000685146],[0.000685146],[0.000685146]]"
110,2023-11-01,"[[0.000678955],[0.000678955],[0.000678955],[0.000678955],[0.000678955]]"
111,2023-11-02,"[[0.000670701],[0.000670701],[0.000670701],[0.000670701],[0.000670701]]"
112,2023-11-03,"[[0.000662446],[0.000662446],[0.000662446],[0.000662446],[0.000662446]]"
113,2023-11-04,"[[0.000654191],[0.000654191],[0.000654191],[0.000654191],[0.000654191]]"
114,2023-11-05,"[[0.000645936],[0.000645936],[0.000645936],[0.000645936],[0.000645936]]"
115,2023-11-06,"[[0.000637681],[0.000637681],[0.000637681],[0.000637681],[0.000637681]]"
116,2023-11-07,"[[0.000627363],[0.000627363],[0.000627363],[0.000627363],[0.000627363]]"
117,2023-11-08,"[[0.000619108],[0.000619108],[0.000619108],[0.000619108],[0.000619108]]"
118,2023-11-09,"[[0.000612917],[0.000612917],[0.000612917],[0.000612917],[0.000612917]]"
119,2023-11-10,"[[0.000602599],[0.000602599],[0.000602599],[0.000602599],[0.000602599]]"
120,2023-11-11,"[[0.000594344],[0.000594344],[0.000594344],[0.000594344],[0.000594344]]"
121,2023-11-12,"[[0.000586089],[0.000586089],[0.000586089],[0.000586089],[0.000586089]]"
122,2023-11-13,"[[0.000575771],[0.000575771],[0.000575771],[0.000575771],[0.000575771]]"
123,2023-11-14,"[[0.000567516],[0.000567516],[0.000567516],[0.000567516],[0.000567516]]"
124,2023-11-15,"[[0.000557197],[0.000557197],[0.000557197],[0.000557197],[0.000557197]]"
125,2023-11-16,"[[0.000551006],[0.000551006],[0.000551006],[0.000551006],[0.000551006]]"
126,2023-11-17,"[[0.000542751],[0.000542751],[0.000542751],[0.000542751],[0.000542751]]"
127,2023-11-18,"[[0.000532433],[0.000532433],[0.000532433],[0.000532433],[0.000532433]]"
128,2023-11-19,"[[0.000524178],[0.000524178],[0.000524178],[0.000524178],[0.000524178]]"
129,2023-11-20,"[[0.00051386],[0.00051386],[0.00051386],[0.00051386],[0.00051386]]"
130,2023-11-21,"[[0.000505605],[0.000505605],[0.000505605],[0.000505605],[0.000505605]]"
131,2023-11-22,"[[0.00049735],[0.00049735],[0.00049735],[0.00049735],[0.00049735]]"
132,2023-11-23,"[[0.000489095],[0.000489095],[0.000489095],[0.000489095],[0.000489095]]"
133,2023-11-24,"[[0.000482904],[0.000482904],[0.000482904],[0.000482904],[0.000482904]]"
134,2023-11-25,"[[0.000472586],[0.000472586],[0.000472586],[0.000472586],[0.000472586]]"
135,2023-11-26,"[[0.000464331],[0.000464331],[0.000464331],[0.000464331],[0.000464331]]"
136,2023-11-27,"[[0.000456076],[0.000456076],[0.000456076],[0.000456076],[0.000456076]]"
137,2023-11-28,"[[0.000447822],[0.000447822],[0.000447822],[0.000447822],[0.000447822]]"
138,2023-11-29,"[[0.000439567],[0.000439567],[0.000439567],[0.000439567],[0.000439567]]"
139,2023-11-30,"[[0.000431312],[0.000431312],[0.000431312],[0.000431312],[0.000431312]]"
140,2023-12-01,"[[0.000423057],[0.000423057],[0.000423057],[0.000423057],[0.000423057]]"
141,2023-12-02,"[[0.000416866],[0.000416866],[0.000416866],[0.000416866],[0.000416866]]"
142,2023-12-03,"[[0.000410675],[0.000410675],[0.000410675],[0.000410675],[0.000410675]]"
143,2023-12-04,"[[0.00040242],[0.00040242],[0.00040242],[0.00040242],[0.00040242]]"
144,2023-12-05,"[[0.000394166],[0.000394166],[0.000394166],[0.000394166],[0.000394166]]"
145,2023-12-06,"[[0.000387974],[0.000387974],[0.000387974],[0.000387974],[0.000387974]]"
146,2023-12-07,"[[0.00037972],[0.00037972],[0.00037972],[0.00037972],[0.00037972]]"
147,2023-12-08,"[[0.000373529],[0.000373529],[0.000373529],[0.000373529],[0.000373529]]"
148,2023-12-09,"[[0.000365274],[0.000365274],[0.000365274],[0.000365274],[0.000365274]]"
149,2023-12-10,"[[0.000357019],[0.000357019],[0.000357019],[0.000357019],[0.000357019]]"
150,2023-12-11,"[[0.000352892],[0.000352892],[0.000352892],[0.000352892],[0.000352892]]"
151,2023-12-12,"[[0.000346701],[0.000346701],[0.000346701],[0.000346701],[0.000346701]]"
152,2023-12-13,"[[0.000338446],[0.000338446],[0.000338446],[0.000338446],[0.000338446]]"
153,2023-12-14,"[[0.000332255],[0.000332255],[0.000332255],[0.000332255],[0.000332255]]"
154,2023-12-15,"[[0.000326064],[0.000326064],[0.000326064],[0.000326064],[0.000326064]]"
155,2023-12-16,"[[0.000319873],[0.000319873],[0.000319873],[0.000319873],[0.000319873]]"
156,2023-12-17,"[[0.000313681],[0.000313681],[0.000313681],[0.000313681],[0.000313681]]"
157,2023-12-18,"[[0.00030749],[0.00030749],[0.00030749],[0.00030749],[0.00030749]]"
158,2023-12-19,"[[0.000299236],[0.000299236],[0.000299236],[0.000299236],[0.000299236]]"
159,2023-12-20,"[[0.000295108],[0.000295108],[0.000295108],[0.000295108],[0.000295108]]"
160,2023-12-21,"[[0.000290981],[0.000290981],[0.000290981],[0.000290981],[0.000290981]]"
161,2023-12-22,"[[0.00028479],[0.00028479],[0.00028479],[0.00028479],[0.00028479]]"
162,2023-12-23,"[[0.000278599],[0.000278599],[0.000278599],[0.000278599],[0.000278599]]"
163,2023-12-24,"[[0.000272408],[0.000272408],[0.000272408],[0.000272408],[0.000272408]]"
164,2023-12-25,"[[0.000266217],[0.000266217],[0.000266217],[0.000266217],[0.000266217]]"
165,2023-12-26,"[[0.000262089],[0.000262089],[0.000262089],[0.000262089],[0.000262089]]"
166,2023-12-27,"[[0.000255898],[0.000255898],[0.000255898],[0.000255898],[0.000255898]]"
167,2023-12-28,"[[0.000249707],[0.000249707],[0.000249707],[0.000249707],[0.000249707]]"
168,2023-12-29,"[[0.00024558],[0.00024558],[0.00024558],[0.00024558],[0.00024558]]"
169,2023-12-30,"[[0.000239388],[0.000239388],[0.000239388],[0.000239388],[0.000239388]]"
170,2023-12-31,"[[0.000235261],[0.000235261],[0.000235261],[0.000235261],[0.000235261]]"
171,2024-01-01,"[[0.00022907],[0.00022907],[0.00022907],[0.00022907],[0.00022907]]"
172,2024-01-02,"[[0.000227006],[0.000227006],[0.000227006],[0.000227006],[0.000227006]]"
173,2024-01-03,"[[0.000222879],[0.000222879],[0.000222879],[0.000222879],[0.000222879]]"
174,2024-01-04,"[[0.000216688],[0.000216688],[0.000216688],[0.000216688],[0.000216688]]"
175,2024-01-05,"[[0.00021256],[0.00021256],[0.00021256],[0.00021256],[0.00021256]]"
176,2024-01-06,"[[0.000208433],[0.000208433],[0.000208433],[0.000208433],[0.000208433]]"
177,2024-01-07,"[[0.000204306],[0.000204306],[0.000204306],[0.000204306],[0.000204306]]"
178,2024-01-08,"[[0.000198115],[0.000198115],[0.000198115],[0.000198115],[0.000198115]]"
179,2024-01-09,"[[0.000193987],[0.000193987],[0.000193987],[0.000193987],[0.000193987]]"
180,2024-01-10,"[[0.00018986],[0.00018986],[0.00018986],[0.00018986],[0.00018986]]"
181,2024-01-11,"[[0.000185732],[0.000185732],[0.000185732],[0.000185732],[0.000185732]]"
182,2024-01-12,"[[0.000181605],[0.000181605],[0.000181605],[0.000181605],[0.000181605]]"
183,2024-01-13,"[[0.000177478],[0.000177478],[0.000177478],[0.000177478],[0.000177478]]"
184,2024-01-14,"[[0.00017335],[0.00017335],[0.00017335],[0.00017335],[0.00017335]]"
185,2024-01-15,"[[0.000169223],[0.000169223],[0.000169223],[0.000169223],[0.000169223]]"
186,2024-01-16,"[[0.000165096],[0.000165096],[0.000165096],[0.000165096],[0.000165096]]"
187,2024-01-17,"[[0.000163032],[0.000163032],[0.000163032],[0.000163032],[0.000163032]]"
188,2024-01-18,"[[0.000160968],[0.000160968],[0.000160968],[0.000160968],[0.000160968]]"
189,2024-01-19,"[[0.000156841],[0.000156841],[0.000156841],[0.000156841],[0.000156841]]"
190,2024-01-20,"[[0.000152713],[0.000152713],[0.000152713],[0.000152713],[0.000152713]]"
191,2024-01-21,"[[0.000148586],[0.000148586],[0.000148586],[0.000148586],[0.000148586]]"
192,2024-01-22,"[[0.000146522],[0.000146522],[0.000146522],[0.000146522],[0.000146522]]"
193,2024-01-23,"[[0.000142395],[0.000142395],[0.000142395],[0.000142395],[0.000142395]]"
194,2024-01-24,"[[0.000140331],[0.000140331],[0.000140331],[0.000140331],[0.000140331]]"
195,2024-01-25,"[[0.000136204],[0.000136204],[0.000136204],[0.000136204],[0.000136204]]"
196,2024-01-26,"[[0.000132076],[0.000132076],[0.000132076],[0.000132076],[0.000132076]]"
197,2024-01-27,"[[0.000130013],[0.000130013],[0.000130013],[0.000130013],[0.000130013]]"
198,2024-01-28,"[[0.000127949],[0.000127949],[0.000127949],[0.000127949],[0.000127949]]"
199,2024-01-29,"[[0.000123822],[0.000123822],[0.000123822],[0.000123822],[0.000123822]]"
200,2024-01-30,"[[0.000121758],[0.000121758],[0.000121758],[0.000121758],[0.000121758]]"
201,2024-01-31,"[[0.000117631],[0.000117631],[0.000117631],[0.000117631],[0.000117631]]"
202,2024-02-01,"[[0.000115567],[0.000115567],[0.000115567],[0.000115567],[0.000115567]]"
203,2024-02-02,"[[0.000113503],[0.000113503],[0.000113503],[0.000113503],[0.000113503]]"
204,2024-02-03,"[[0.000109376],[0.000109376],[0.000109376],[0.000109376],[0.000109376]]"
205,2024-02-04,"[[0.000107312],[0.000107312],[0.000107312],[0.000107312],[0.000107312]]"
206,2024-02-05,"[[0.000105248],[0.000105248],[0.000105248],[0.000105248],[0.000105248]]"
207,2024-02-06,"[[0.000101121],[0.000101121],[0.000101121],[0.000101121],[0.000101121]]"
208,2024-02-07,"[[0.0000991],[0.0000991],[0.0000991],[0.0000991],[0.0000991]]"
209,2024-02-08,"[[0.000097],[0.000097],[0.000097],[0.000097],[0.000097]]"
210,2024-02-09,"[[0.000097],[0.000097],[0.000097],[0.000097],[0.000097]]"
211,2024-02-10,"[[0.0000949],[0.0000949],[0.0000949],[0.0000949],[0.0000949]]"
212,2024-02-11,"[[0.0000929],[0.0000929],[0.0000929],[0.0000929],[0.0000929]]"
213,2024-02-12,"[[0.0000908],[0.0000908],[0.0000908],[0.0000908],[0.0000908]]"
214,2024-02-13,"[[0.0000887],[0.0000887],[0.0000887],[0.0000887],[0.0000887]]"
215,2024-02-14,"[[0.0000867],[0.0000867],[0.0000867],[0.0000867],[0.0000867]]"
216,2024-02-15,"[[0.0000825],[0.0000825],[0.0000825],[0.0000825],[0.0000825]]"
217,2024-02-16,"[[0.0000825],[0.0000825],[0.0000825],[0.0000825],[0.0000825]]"
218,2024-02-17,"[[0.0000784],[0.0000784],[0.0000784],[0.0000784],[0.0000784]]"
219,2024-02-18,"[[0.0000784],[0.0000784],[0.0000784],[0.0000784],[0.0000784]]"
220,2024-02-19,"[[0.0000764],[0.0000764],[0.0000764],[0.0000764],[0.0000764]]"
221,2024-02-20,"[[0.0000743],[0.0000743],[0.0000743],[0.0000743],[0.0000743]]"
222,2024-02-21,"[[0.0000722],[0.0000722],[0.0000722],[0.0000722],[0.0000722]]"
223,2024-02-22,"[[0.0000702],[0.0000702],[0.0000702],[0.0000702],[0.0000702]]"
224,2024-02-23,"[[0.0000681],[0.0000681],[0.0000681],[0.0000681],[0.0000681]]"
225,2024-02-24,"[[0.000066],[0.000066],[0.000066],[0.000066],[0.000066]]"
226,2024-02-25,"[[0.000066],[0.000066],[0.000066],[0.000066],[0.000066]]"
227,2024-02-26,"[[0.000064],[0.000064],[0.000064],[0.000064],[0.000064]]"
228,2024-02-27,"[[0.0000619],[0.0000619],[0.0000619],[0.0000619],[0.0000619]]"
229,2024-02-28,"[[0.0000598],[0.0000598],[0.0000598],[0.0000598],[0.0000598]]"
230,2024-02-29,"[[0.0000598],[0.0000598],[0.0000598],[0.0000598],[0.0000598]]"
231,2024-03-01,"[[0.0000578],[0.0000578],[0.0000578],[0.0000578],[0.0000578]]"
232,2024-03-02,"[[0.0000557],[0.0000557],[0.0000557],[0.0000557],[0.0000557]]"
233,2024-03-03,"[[0.0000537],[0.0000537],[0.0000537],[0.0000537],[0.0000537]]"
234,2024-03-04,"[[0.0000537],[0.0000537],[0.0000537],[0.0000537],[0.0000537]]"
235,2024-03-05,"[[0.0000516],[0.0000516],[0.0000516],[0.0000516],[0.0000516]]"
236,2024-03-06,"[[0.0000516],[0.0000516],[0.0000516],[0.0000516],[0.0000516]]"
237,2024-03-07,"[[0.0000495],[0.0000495],[0.0000495],[0.0000495],[0.0000495]]"
238,2024-03-08,"[[0.0000475],[0.0000475],[0.0000475],[0.0000475],[0.0000475]]"
239,2024-03-09,"[[0.0000475],[0.0000475],[0.0000475],[0.0000475],[0.0000475]]"
240,2024-03-10,"[[0.0000454],[0.0000454],[0.0000454],[0.0000454],[0.0000454]]"
241,2024-03-11,"[[0.0000454],[0.0000454],[0.0000454],[0.0000454],[0.0000454]]"
242,2024-03-12,"[[0.0000433],[0.0000433],[0.0000433],[0.0000433],[0.0000433]]"
243,2024-03-13,"[[0.0000413],[0.0000413],[0.0000413],[0.0000413],[0.0000413]]"
244,2024-03-14,"[[0.0000413],[0.0000413],[0.0000413],[0.0000413],[0.0000413]]"
245,2024-03-15,"[[0.0000392],[0.0000392],[0.0000392],[0.0000392],[0.0000392]]"
246,2024-03-16,"[[0.0000392],[0.0000392],[0.0000392],[0.0000392],[0.0000392]]"
247,2024-03-17,"[[0.0000371],[0.0000371],[0.0000371],[0.0000371],[0.0000371]]"
248,2024-03-18,"[[0.0000371],[0.0000371],[0.0000371],[0.0000371],[0.0000371]]"
249,2024-03-19,"[[0.0000371],[0.0000371],[0.0000371],[0.0000371],[0.0000371]]"
250,2024-03-20,"[[0.0000351],[0.0000351],[0.0000351],[0.0000351],[0.0000351]]"
251,2024-03-21,"[[0.0000351],[0.0000351],[0.0000351],[0.0000351],[0.0000351]]"
252,2024-03-22,"[[0.000033],[0.000033],[0.000033],[0.000033],[0.000033]]"
253,2024-03-23,"[[0.000033],[0.000033],[0.000033],[0.000033],[0.000033]]"
254,2024-03-24,"[[0.000033],[0.000033],[0.000033],[0.000033],[0.000033]]"
255,2024-03-25,"[[0.000033],[0.000033],[0.000033],[0.000033],[0.000033]]"
256,2024-03-26,"[[0.000031],[0.000031],[0.000031],[0.000031],[0.000031]]"
257,2024-03-27,"[[0.000031],[0.000031],[0.000031],[0.000031],[0.000031]]"
258,2024-03-28,"[[0.000031],[0.000031],[0.000031],[0.000031],[0.000031]]"
259,2024-03-29,"[[0.0000289],[0.0000289],[0.0000289],[0.0000289],[0.0000289]]"
260,2024-03-30,"[[0.0000289],[0.0000289],[0.0000289],[0.0000289],[0.0000289]]"
261,2024-03-31,"[[0.0000289],[0.0000289],[0.0000289],[0.0000289],[0.0000289]]"
262,2024-04-01,"[[0.0000268],[0.0000268],[0.0000268],[0.0000268],[0.0000268]]"
263,2024-04-02,"[[0.0000268],[0.0000268],[0.0000268],[0.0000268],[0.0000268]]"
264,2024-04-03,"[[0.0000268],[0.0000268],[0.0000268],[0.0000268],[0.0000268]]"
265,2024-04-04,"[[0.0000248],[0.0000248],[0.0000248],[0.0000248],[0.0000248]]"
266,2024-04-05,"[[0.0000248],[0.0000248],[0.0000248],[0.0000248],[0.0000248]]"
267,2024-04-06,"[[0.0000248],[0.0000248],[0.0000248],[0.0000248],[0.0000248]]"
268,2024-04-07,"[[0.0000227],[0.0000227],[0.0000227],[0.0000227],[0.0000227]]"
269,2024-04-08,"[[0.0000227],[0.0000227],[0.0000227],[0.0000227],[0.0000227]]"
270,2024-04-09,"[[0.0000227],[0.0000227],[0.0000227],[0.0000227],[0.0000227]]"
271,2024-04-10,"[[0.0000227],[0.0000227],[0.0000227],[0.0000227],[0.0000227]]"
272,2024-04-11,"[[0.0000206],[0.0000206],[0.0000206],[0.0000206],[0.0000206]]"
273,2024-04-12,"[[0.0000206],[0.0000206],[0.0000206],[0.0000206],[0.0000206]]"
274,2024-04-13,"[[0.0000206],[0.0000206],[0.0000206],[0.0000206],[0.0000206]]"
275,2024-04-14,"[[0.0000206],[0.0000206],[0.0000206],[0.0000206],[0.0000206]]"
276,2024-04-15,"[[0.0000186],[0.0000186],[0.0000186],[0.0000186],[0.0000186]]"
277,2024-04-16,"[[0.0000186],[0.0000186],[0.0000186],[0.0000186],[0.0000186]]"
278,2024-04-17,"[[0.0000186],[0.0000186],[0.0000186],[0.0000186],[0.0000186]]"
279,2024-04-18,"[[0.0000186],[0.0000186],[0.0000186],[0.0000186],[0.0000186]]"
280,2024-04-19,"[[0.0000165],[0.0000165],[0.0000165],[0.0000165],[0.0000165]]"
281,2024-04-20,"[[0.0000165],[0.0000165],[0.0000165],[0.0000165],[0.0000165]]"
282,2024-04-21,"[[0.0000165],[0.0000165],[0.0000165],[0.0000165],[0.0000165]]"
283,2024-04-22,"[[0.0000165],[0.0000165],[0.0000165],[0.0000165],[0.0000165]]"
284,2024-04-23,"[[0.0000165],[0.0000165],[0.0000165],[0.0000165],[0.0000165]]"
285,2024-04-24,"[[0.0000144],[0.0000144],[0.0000144],[0.0000144],[0.0000144]]"
286,2024-04-25,"[[0.0000144],[0.0000144],[0.0000144],[0.0000144],[0.0000144]]"
